window,test_start,mom_12_1,mom_6_1,rev_1m,vol_3m,pct_52w_high
0,2013-01-04,0.0270951254894572,0.025740419008357524,-0.015506499704144779,0.004728260094475507,-0.008278285508507318
1,2013-07-08,0.07646552897068651,0.030055991796274443,0.0200212656945265,0.10096412687548045,0.006202955361633627
2,2014-01-06,-0.0292651993629405,-0.046554864525954476,-0.05459477059797695,0.005047705969541967,-0.08151981585042167
3,2014-07-08,0.05765726756126755,0.09416029851631745,0.031948755800058126,-0.08525673738364044,0.08636908577436116
4,2015-01-06,0.053294767383071526,0.011281531140443956,-0.023341615598587367,-0.012495663709961647,0.07072331535452944
5,2015-07-08,0.12172048968926259,0.07676329347240751,0.07241871471235413,-0.1279155956926185,0.11914623273713572
6,2016-01-06,-0.08530190565511263,-0.04571945319479536,-0.08767760349618803,0.05093844867513753,-0.11033744617639205
7,2016-07-07,-0.16096093173691356,-0.05162438102185275,0.005962804147915945,0.13176300094019802,-0.09347198213607091
8,2017-01-05,0.0533418627920448,-0.008096777716143295,0.008557683979494267,-0.0813410062604928,0.08426506360602722
9,2017-07-07,0.02102797079188246,0.05502932811381995,-0.04195780385986154,0.048183197352237125,-0.02332660990547749
10,2018-01-05,0.0026461966107346906,-0.010653384607436249,-0.036706811352387535,-0.025991574551501813,-0.03746229460658466
11,2018-07-09,-0.03882291515998243,0.022854132741345266,-0.054856921529415625,-0.08685292543515193,0.03072564581880298
12,2019-01-08,0.05708920557345392,0.056878835825473324,-0.06112399107756476,-0.04341659375236372,0.047611226483265996
13,2019-07-10,-0.05044551258324963,-0.08433765530276262,-0.09001524318818847,0.05421827923761432,-0.08988526424149307
14,2020-01-08,0.06845705228827176,-0.01073943753156241,0.03339797691218742,-0.05723914270831023,0.06942984683477658
15,2020-07-09,-0.10733249400943888,0.005844689443903704,0.007079128014843369,0.19158955693050553,-0.10994998953068737
16,2021-01-07,-0.11127102203909127,-0.00672739082094798,-0.11810611458858941,0.0103443313344423,-0.1004923396161319
17,2021-07-09,-0.03127309313385406,-0.09958772254352985,-0.019895043580046137,-0.0326905748126493,-0.037131806458715666
18,2022-01-06,0.01740098456177495,0.015185741125462157,0.01271289861717922,-0.10105658964675233,0.05787487698350537
19,2022-07-11,0.016342512986387725,0.01722602952818775,-0.054449896285290254,0.04713405126706071,-0.039339375703116686
20,2023-01-09,0.006039837961143947,-0.026940685539248357,-0.005266743482295892,0.04229181281588506,-0.013972059427442656
21,2023-07-12,0.07223636455683038,0.05146605035849819,0.006014596577312411,-0.013144420788586565,0.03463290814926287
22,2024-01-10,0.022779430548052888,-0.03440079432807912,0.014608558745524376,-0.03797679714917689,0.03161659186798073
23,2024-07-12,0.08546221287085906,0.028859537635120894,0.037750272647973336,0.02244078491981864,0.06122156601562151
24,2025-01-13,-0.030240170993820124,-0.09646382942174395,0.023219080621327794,0.07945164134608182,-0.04888733108287295
25,2025-07-16,0.018949406239386436,0.05007195033682117,0.011235164799403447,0.07510374294418996,0.014909739178461803
