ticker,weight
AAPL,0.00856424576389262
ACN,0.011017104960141326
ADSK,0.009319693584152073
AJG,-0.012765828492079745
AKAM,0.010828481753214056
ALB,0.012568530228586717
ALGN,-0.005947743896364778
AMAT,-0.008579815635761313
APA,0.0067928363276141615
APP,0.010776139371200208
ARE,-0.00817946385428901
AVGO,0.009294079096262347
AXON,-0.011281501850088967
BAX,-0.007196616919179073
BBY,-0.009248323500953712
BRO,-0.012816057784120316
CARR,-0.00873743141612295
CBOE,0.0057760242332772415
CDW,-0.009950233568684616
CHRW,0.010513851641710998
CHTR,-0.009974193267390822
CIEN,0.011864377389279793
CMG,-0.009427653758956918
CMI,0.011872903134596728
CNC,-0.011357696375258446
COHR,0.012144009976300454
CTSH,0.01034307938155545
CVNA,0.01294164727016576
DD,0.012218306639119901
DELL,-0.00876398922434777
DIS,-0.010586941638869331
DRI,-0.01217548174307397
DVA,-0.012012711784139167
ETN,-0.010241140982414553
EXPE,0.012673245801396886
FDS,-0.011990938763378301
FIX,0.012171541754177836
FOX,0.008519432607315258
FOXA,0.008658610471089167
FSLR,0.010663380684914113
FTNT,-0.011943742178286114
GM,0.011172854793598818
GOOG,0.009105313286413891
GOOGL,0.009137342311659606
HAL,0.008814380857875165
HII,0.00986270647815369
HPE,-0.008238605957317515
HRL,-0.011968534311080572
HUM,-0.010810653837438488
INTU,0.00768741287765487
IP,-0.00766091490314014
IQV,0.01231450227392129
IRM,-0.00966784043685087
IVZ,0.0130603052821025
JBHT,0.011417136270070155
KDP,-0.012778064553262275
KLAC,-0.008205669007410522
KMB,-0.012763462135851297
KR,0.005334265976320517
KVUE,-0.012290250559912293
LDOS,0.009352659346138511
LII,-0.007841798495476124
LITE,0.0113707555661156
LVS,0.009715653176253686
LYV,-0.01140593399920072
MGM,-0.00895209204933373
MOS,-0.010921389684049152
MRVL,-0.00884131367652783
MU,-0.008982893384369353
NCLH,-0.005455539120481695
NEM,0.01129903584411794
NTAP,-0.009706729137758417
ON,-0.007150042260636739
PANW,-0.01213673521477997
PAYX,-0.011788669340644682
PLD,0.010070352941695294
PLTR,0.009312338862398354
PTC,0.008736331371138118
RCL,-0.006694320198406851
REGN,0.008884662595593064
ROL,0.00856555418986397
ROP,-0.012364516508106441
SATS,0.011417171447165152
SMCI,-0.005098306100495134
SNDK,0.016033167136511997
SW,-0.006668384310350143
TMUS,-0.015099724322200083
TSLA,0.010964489533860212
TSN,0.008102616558158323
TTD,-0.011256241561052274
TXN,-0.010048111544692194
UHS,0.008354557826006413
VRSK,-0.01348212383566654
VST,-0.010757164257067506
VTR,0.006426447936135857
VTRS,0.01059828006368623
WBD,0.00952646906751318
WELL,0.006997847877298353
WMT,0.006843866182616029
WSM,-0.007786468662680473
